Codigo,Nombre_Comercial,Nombre_Generico,Marca,Concentracion,Forma_Farmaceutica,Categoria,Fabricante,Proveedor_Principal,Descripcion,Ingredientes_Activos,Indicaciones,Contraindicaciones,Efectos_Secundarios,Instrucciones_Dosificacion,Condicion_Almacenamiento,Requiere_Receta,Sustancia_Controlada,Programa_Control
IRU-MED-001,Typrire,,,,Cápsula,Otro,,,,,,,,,,,,
IRU-MED-002,Guantes de Látex,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-003,Jeringa 10 ml,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-004,Jeringa 3 ml,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-005,Clorfeniramina 10mg,Clorfeniramina,,10mg,Inyección / Ampolla,Antihistamínico,,,,,,,,,,,,
IRU-MED-006,Dexametasona 8mg,Dexametasona,,8mg,Inyección / Ampolla,Endocrino,,,,,,,,,,,,
IRU-MED-007,Venda de gasa 10cm,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-008,Compresa de gasa 7.5cm,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-009,Neomicina Bacitracina Crema,Neomicina Bacitracina,,,Crema / Pomada,Antibiótico,,,,,,,,,,,,
IRU-MED-010,Dermaserol Crema,Dermaserol,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-011,Agua Oxigenada 60ml,Peróxido de Hidrógeno,,60ml,Jarabe / Líquido,Dermatológico,,,,,,,,,,,,
IRU-MED-012,Yodopovidona Crema,Yodopovidona,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-013,Yodomin 60ml,Yodomin,,60ml,Otro,Otro,,,,,,,,,,,,
IRU-MED-014,Povidona,Povidona,,Solución,Jarabe / Líquido,Dermatológico,,,,,,,,,,,,
IRU-MED-015,Violeta de Genciana,Violeta de Genciana,,Solución,Jarabe / Líquido,Dermatológico,,,,,,,,,,,,
IRU-MED-016,Algodón 10gr,Algodón,,10gr,Otro,Otro,,,,,,,,,,,,
IRU-MED-017,Paracetamol 15ml,Paracetamol,,15ml,Gotas,Analgésico,,,,,,,,,,,,
IRU-MED-018,Paracetamol 125mg/5ml,Paracetamol,,125mg/5ml,Jarabe / Líquido,Analgésico,,,,,,,,,,,,
IRU-MED-019,Test de Embarazo,Test de Embarazo,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-020,Bielectro,Bielectro,,,Tableta,Suplemento,,,,,,,,,,,,
IRU-MED-021,Dexametasona 0.5mg,Dexametasona,,0.5mg,Tableta,Endocrino,,,,,,,,,,,,
IRU-MED-022,Complejo B,Complejo B,Neurobion,,Cápsula,Suplemento,,,,,,,,,,,,
IRU-MED-023,Loperamida 2mg,Loperamida,,2mg,Tableta,Gastrointestinal,,,,,,,,,,,,
IRU-MED-024,Sildenafil 100mg,Sildenafil,,100mg,Tableta,Cardiovascular,,,,,,,,,,,,
IRU-MED-025,Omeprazol 20mg,Omeprazol,,20mg,Cápsula,Gastrointestinal,,,,,,,,,,,,
IRU-MED-026,Suero Ringer Lactato 500ml,Ringer Lactato,,500ml,Otro,Otro,,,,,,,,,,,,
IRU-MED-027,Vitamina C,Vitamina C,,,Inyección / Ampolla,Suplemento,,,,,,,,,,,,
IRU-MED-028,Ketorolaco 30mg,Ketorolaco,,30mg,Inyección / Ampolla,Analgésico,,,,,,,,,,,,
IRU-MED-029,Omeprazol 40mg,Omeprazol,,40mg,Inyección / Ampolla,Gastrointestinal,,,,,,,,,,,,
IRU-MED-030,Diclofenaco 75mg,Diclofenaco,,75mg,Inyección / Ampolla,Analgésico,,,,,,,,,,,,
IRU-MED-031,Metamizol 1g,Metamizol,,1g,Inyección / Ampolla,Analgésico,,,,,,,,,,,,
IRU-MED-032,Ceftriaxona 1g,Ceftriaxona,,1g,Inyección / Ampolla,Antibiótico,,,,,,,,,,,,
IRU-MED-033,Agua con Lidocaína 1%,Lidocaína,,1%,Inyección / Ampolla,Analgésico,,,,,,,,,,,,
IRU-MED-034,Carbamazepina 200mg,Carbamazepina,,200mg,Tableta,Neurológico,,,,,,,,,,,,
IRU-MED-035,Fluconazol 200mg,Fluconazol,,200mg,Tableta,Dermatológico,,,,,,,,,,,,
IRU-MED-036,Weltonne Suplemento Vitamínico 120ml,Suplemento Vitamínico,,120ml,Jarabe / Líquido,Suplemento,,,,,,,,,,,,
IRU-MED-037,Cefixima 400mg,Cefixima,,400mg,Tableta,Antibiótico,,,,,,,,,,,,
IRU-MED-038,Glucosamina,Glucosamina,,,Otro,Suplemento,,,,,,,,,,,,
IRU-MED-039,Resaka,Resaka,,,Otro,Suplemento,,,,,,,,,,,,
IRU-MED-040,Cloranfenicol Oftálmico,Cloranfenicol,,,Gotas,Antibiótico,,,,,,,,,,,,
IRU-MED-041,Clotrimazol Crema,Clotrimazol,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-042,Hidrocortisona Crema,Hidrocortisona,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-043,Mentizan,Mentizan,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-044,Ketoconazol Crema,Ketoconazol,,,Crema / Pomada,Dermatológico,,,,,,,,,,,,
IRU-MED-045,Venda de gasa 5cm,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-046,Venda de gasa 7.5cm,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-047,Compresa de gasa 5cm,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-048,Baja Lengua Adulto,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-049,Baja Lengua Pediátrico,,,,Otro,Otro,,,,,,,,,,,,
IRU-MED-050,Hilo Nylon,Hilo Nylon,,,Otro,Otro,,,,,,,,,,,,
