Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-003,LOTE-CHU-2024-001,6,50.00,60.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-004,LOTE-CHU-2024-002,15,50.00,60.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-007,LOTE-CHU-2024-003,914,2.00,2.50,2026-06-30,2024-01-15,,Farmacia,100
CHU-007,LOTE-CHU-2024-004,3,2.80,3.50,2026-06-30,2024-01-15,,Farmacia,100
CHU-008,LOTE-CHU-2024-005,7,70.00,80.00,2026-03-31,2024-01-15,,Refrigerador,5
CHU-010,LOTE-CHU-2024-006,100,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-011,LOTE-CHU-2024-007,5,4.00,5.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-012,LOTE-CHU-2024-008,95,6.50,8.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-013,LOTE-CHU-2024-009,4,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-015,LOTE-CHU-2024-010,28,28.00,35.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-016,LOTE-CHU-2024-011,180,4.00,5.00,2027-06-30,2024-01-15,,Farmacia,30
CHU-017,LOTE-CHU-2024-012,120,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-018,LOTE-CHU-2024-013,10,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-020,LOTE-CHU-2024-014,8,10.00,12.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-021,LOTE-CHU-2024-015,8,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-022,LOTE-CHU-2024-016,1,28.00,35.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-023,LOTE-CHU-2024-017,95,2.80,3.50,2026-12-31,2024-01-15,,Farmacia,20
CHU-024,LOTE-CHU-2024-018,9,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-027,LOTE-CHU-2024-019,6,4.80,6.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-029,LOTE-CHU-2024-020,22,2.40,3.00,2026-06-30,2024-01-15,,Farmacia,10
CHU-030,LOTE-CHU-2024-021,690,8.00,10.00,2027-12-31,2024-01-15,,Farmacia,50
CHU-031,LOTE-CHU-2024-022,75,3.20,4.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-032,LOTE-CHU-2024-023,94,2.40,3.00,2027-06-30,2024-01-15,,Farmacia,20
CHU-033,LOTE-CHU-2024-024,8,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-036,LOTE-CHU-2024-025,1,280.00,350.00,2027-12-31,2024-01-15,,Farmacia,1
CHU-037,LOTE-CHU-2024-026,1,40.00,50.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-038,LOTE-CHU-2024-027,6,1.60,2.00,2027-06-30,2024-01-15,,Farmacia,10
CHU-041,LOTE-CHU-2024-028,1,40.00,50.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-042,LOTE-CHU-2024-029,74,3.20,4.00,2027-12-31,2024-01-15,,Farmacia,20
CHU-044,LOTE-CHU-2024-030,85,2.40,3.00,2027-06-30,2024-01-15,,Farmacia,20
CHU-046,LOTE-CHU-2024-031,1,20.00,25.00,2027-12-31,2024-01-15,,Farmacia,2
CHU-047,LOTE-CHU-2024-032,2,32.00,40.00,2027-12-31,2024-01-15,,Farmacia,2
CHU-048,LOTE-CHU-2024-033,1,12.00,15.00,2027-12-31,2024-01-15,,Farmacia,2
CHU-050,LOTE-CHU-2024-034,7,5.60,7.00,2025-06-30,2024-01-15,,Refrigerador,5
CHU-051,LOTE-CHU-2024-035,120,4.80,6.00,2026-12-31,2024-01-15,,Farmacia,20
CHU-052,LOTE-CHU-2024-036,224,8.00,10.00,2026-12-31,2024-01-15,,Farmacia,30
CHU-054,LOTE-CHU-2024-037,10,40.00,50.00,2027-12-31,2024-01-15,,Bodega,5
CHU-055,LOTE-CHU-2024-038,29,4.00,5.00,2027-12-31,2024-01-15,,Bodega,10
