Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
IRU-MED-016,,10,,,,,,,,
IRU-MED-066,,100,,,,,,,,
IRU-MED-067,,30,,,,,,,,
IRU-MED-068,,40,,,,,,,,
IRU-MED-069,,50,,,,,,,,
IRU-MED-070,,5,,,,,,,,
IRU-MED-071,,3,,,,,,,,
IRU-MED-011,,3,,,,,,,,
IRU-MED-072,,4,,,,,,,,
IRU-MED-018,,5,,,,,,,,
IRU-MED-019,,30,,,,,,,,
IRU-MED-023,,50,,,,,,,,
IRU-MED-028,,20,,,,,,,,
IRU-MED-073,,100,,,,,,,,
IRU-MED-074,,5,,,,,,,,
IRU-MED-032,,20,,,,,,,,
IRU-MED-035,,30,,,,,,,,
IRU-MED-075,,3,,,,,,,,
IRU-MED-043,,5,,,,,,,,
IRU-MED-050,,5,,,,,,,,
IRU-MED-051,,100,,,,,,,,
IRU-MED-062,,50,,,,,,,,
IRU-MED-076,,50,,,,,,,,
IRU-MED-055,,1,,,,,,,,
IRU-MED-077,,3,,,,,,,,
IRU-MED-078,,3,,,,,,,,
IRU-MED-079,,5,,,,,,,,
IRU-MED-080,,10,,,,,,,,
IRU-MED-086,,4,,,,,,,,
IRU-MED-087,,5,,,,,,,,
IRU-MED-088,,100,,,,,,,,
IRU-MED-089,,100,,,,,,,,
